SYMBOL_ROWU,RODZAJ_KOD,ZARUR_SREDNICA,ID_mpwik,Shape_Length,geometry
Ł-20,1.0,,508,21.040335073363934,"MULTILINESTRING ((6424546.25 5667395.74, 6424528.04 5667406.28))"
Brx-12.19,2.0,,25280,16.497424041532305,"MULTILINESTRING ((6432370.72 5658890.7, 6432358.31 5658901.57))"
Brx-12.19,2.0,,25281,33.251661613205876,"MULTILINESTRING ((6432395.75 5658868.81, 6432370.72 5658890.7))"
S-9.5,1.0,,513,97.96386528890228,"MULTILINESTRING ((6425203.6 5666411.31, 6425207.89 5666400.35, 6425215.57 5666379.4, 6425218.21 5666357.67, 6425218.72 5666342.07, 6425217.2 5666319.17, 6425216.73 5666315.77))"
S-9.5,1.0,,514,134.46303984916815,"MULTILINESTRING ((6425157.87 5666537.68, 6425170.93 5666501.47, 6425179.66 5666481.22, 6425187.93 5666459.61, 6425196.78 5666432.95, 6425203.6 5666411.31))"
S-9.5,1.0,,515,8.855596284801603,"MULTILINESTRING ((6425152.28 5666550.57, 6425154.13 5666545.93, 6425155.78 5666542.44))"
S-9.5b,1.0,,516,137.03027544491854,"MULTILINESTRING ((6425114.49 5667212.18, 6425110.25 5667209.65, 6425098.32 5667199.55, 6425084.43 5667187.26, 6425039.9 5667148.66, 6425019.02 5667131.31, 6425010.1 5667123.53))"
,1.0,,517,307.9969446280533,"MULTILINESTRING ((6429664.19 5670874.22, 6429601.42 5670863.94, 6429578.51 5670860.24, 6429529.36 5670852.19, 6429492.26 5670846.1, 6429466.82 5670841.76, 6429438.44 5670837.19, 6429423.84 5670834.99, 6429391.9 5670829.82, 6429360.22 5670824.59))"
O-25,1.0,,518,46.590738343376074,"MULTILINESTRING ((6417732.98 5672025.77, 6417754.85 5672024.31, 6417773.69 5672008.38))"
O-71,1.0,,519,178.38088734335375,"MULTILINESTRING ((6417645.5 5671407.57, 6417648.3 5671412.96, 6417662.1 5671439.24, 6417699.29 5671510.9, 6417727.82 5671565.82))"
O-71,1.0,,520,41.16476451321815,"MULTILINESTRING ((6417612.88 5671405.46, 6417615.55 5671404.66, 6417639.6 5671396.14, 6417645.5 5671407.57))"
Brx-12.19,2.0,,25279,7.780706908404581,"MULTILINESTRING ((6432401.6 5658863.68, 6432395.75 5658868.81))"
O-25.4,1.0,,521,15.17706163976346,"MULTILINESTRING ((6417743.84 5670791.75, 6417758.98 5670790.69))"
O-25,2.0,,522,21.536841333832342,"MULTILINESTRING ((6417903.59 5671904.46, 6417919.51 5671891.78, 6417920.69 5671891.88))"
O-25.20,1.0,,523,33.863647175072366,"MULTILINESTRING ((6417848.2 5671875.23, 6417864.45 5671904.94))"
O-66,1.0,,524,66.17247628408882,"MULTILINESTRING ((6418008.15 5672653.32, 6418014.89 5672669.88, 6418017.84 5672677.27, 6418026.94 5672702.37, 6418031.7 5672715.15))"
O-66.1,1.0,,525,159.64597292982165,"MULTILINESTRING ((6418182.03 5672698.14, 6418191.79 5672697.29, 6418205.16 5672698.64, 6418212.02 5672698.91, 6418242.79 5672700, 6418258.8 5672702.78, 6418277.61 5672705.97, 6418285.23 5672707.33, 6418292.99 5672708.76, 6418339.49 5672719.82))"
O-25.19,1.0,,526,76.63842232509162,"MULTILINESTRING ((6418357.41 5672735.47, 6418357.7 5672735.21, 6418362.25 5672698.41, 6418367.39 5672659.58))"
O-25.19,1.0,,527,3.7665103211058844,"MULTILINESTRING ((6418368.57 5672652.67, 6418369.22 5672648.96))"
O-25.16,1.0,,528,19.835775760470888,"MULTILINESTRING ((6418378.73 5672668.45, 6418381.51 5672648.81))"
,1.0,,529,59.487040648736865,"MULTILINESTRING ((6418351.94 5672802.97, 6418353.91 5672773.93, 6418354.31 5672769.67, 6418355.82 5672752.4, 6418356.61 5672743.67))"
O-25.16,1.0,,530,135.62719120075243,"MULTILINESTRING ((6418365.18 5672803.29, 6418366.22 5672779.73, 6418367.82 5672751.65, 6418372.51 5672712, 6418374.02 5672701.86, 6418377.47 5672677.66, 6418378.73 5672668.45))"
O-66,1.0,,531,119.87869831815482,"MULTILINESTRING ((6417967.5 5672540.69, 6417979.32 5672581.53, 6418008.15 5672653.32))"
O-25.19,1.0,,532,252.99149274259787,"MULTILINESTRING ((6418369.22 5672648.96, 6418404.99 5672398.51))"
O-74,1.0,,595,70.76662737900807,"MULTILINESTRING ((6419710.95 5671729.1, 6419731.58 5671721.06, 6419757.06 5671718.79, 6419765.92 5671726.18, 6419770.56 5671736.71))"
O-75,1.0,,596,7.734293761923488,"MULTILINESTRING ((6420084.42 5671878.2, 6420083.95 5671870.48))"
O-25.2,1.0,,597,355.70187729670556,"MULTILINESTRING ((6419770.29 5671714.39, 6419820.45 5671723.5, 6419855.92 5671727.97, 6419971.53 5671742.42, 6420023.29 5671748.99, 6420085.04 5671756.47, 6420122.89 5671760.69))"
O-25.2,3.0,,598,8.45016567891007,"MULTILINESTRING ((6420122.89 5671760.69, 6420131.22 5671762.11))"
O-73,1.0,,599,38.82620249265057,"MULTILINESTRING ((6420132.57 5671767.87, 6420171.03 5671773.19))"
O-74,1.0,,600,158.03679037660547,"MULTILINESTRING ((6419770.56 5671736.71, 6419781.24 5671760.48, 6419795.69 5671792.04, 6419807.91 5671820.42, 6419818.88 5671845.77, 6419829.59 5671870.21, 6419834.54 5671881.21))"
O-25.2i,1.0,,601,525.4912348643365,"MULTILINESTRING ((6419840.27 5671881.14, 6419825.09 5671845.97, 6419818.36 5671830.07, 6419803.64 5671796.71, 6419791.75 5671769.45, 6419781.38 5671746.13, 6419774.33 5671726.59, 6419773.67 5671722.96, 6419794.86 5671726.16, 6419854.5 5671734.17, 6419904.29 5671739.56, 6419955.26 5671746.65, 6420019.44 5671754.66, 6420088.54 5671763.34, 6420124.55 5671767.62))"
O-72,1.0,,602,31.784837729560074,"MULTILINESTRING ((6420834.88 5671925.65, 6420831.56 5671932.39, 6420818.24 5671952.68))"
O-25,1.0,,603,25.803017265634686,"MULTILINESTRING ((6420967.07 5671908.52, 6420973.01 5671933.63))"
O-25,1.0,,604,13.019589086696097,"MULTILINESTRING ((6420956.64 5671867.7, 6420959.88 5671880.31))"
O-25.1,1.0,,605,12.484101890434596,"MULTILINESTRING ((6420972.36 5671879.98, 6420959.88 5671880.3))"
O-72,1.0,,606,1.010791768640542,"MULTILINESTRING ((6420780.56 5672069.82, 6420780.6 5672070.83))"
O-72,1.0,,607,127.1236366062694,"MULTILINESTRING ((6420818.24 5671952.68, 6420792.25 5671992.9, 6420780.48 5672004.28, 6420776.79 5672007.52, 6420780.1 5672065.38))"
O-25.2,1.0,,608,146.56160679293993,"MULTILINESTRING ((6420216.85 5671772.64, 6420219.69 5671741.39, 6420223.24 5671702.21, 6420224.78 5671670.13, 6420226.98 5671626.46))"
O-25.2h,1.0,,609,155.17724905806443,"MULTILINESTRING ((6420226.94 5671653.71, 6420276.26 5671690.62, 6420285.16 5671694.23, 6420293.63 5671696.43, 6420304.87 5671682.9, 6420298.71 5671625.6))"
O-25.2,3.0,400.0,610,5.896439603542698,"MULTILINESTRING ((6420463.62 5671624.72, 6420469.5 5671624.28))"
O-25.2,1.0,,611,46.15096038340735,"MULTILINESTRING ((6420170.97 5671767.68, 6420184.69 5671769.43, 6420216.85 5671772.64))"
O-25.2e,1.0,,612,16.260065052973953,"MULTILINESTRING ((6420569.95 5671681.3, 6420566.56 5671676.51, 6420556.3 5671674.86))"
O-25.2d,1.0,,613,109.84583918264318,"MULTILINESTRING ((6420562.83 5671669.56, 6420522.34 5671664.21, 6420505.46 5671659.71, 6420491.5 5671651.83, 6420475.03 5671634.34, 6420469.5 5671624.28))"
O-73,1.0,,614,56.66780832149946,"MULTILINESTRING ((6420171.03 5671773.19, 6420227.25 5671780.3))"
O-25.2e,1.0,,615,111.25520181612548,"MULTILINESTRING ((6420556.3 5671674.86, 6420519.11 5671669.61, 6420501.47 5671663.73, 6420489.11 5671655.37, 6420471.93 5671638.47, 6420465.94 5671629.19, 6420463.62 5671624.72))"
O-25.2,1.0,,616,15.357702188849304,"MULTILINESTRING ((6420448.57 5671623.79, 6420455.57 5671625.68, 6420463.62 5671624.72))"
O-25.2g,1.0,,617,98.68356604193002,"MULTILINESTRING ((6420514 5671668.84, 6420471.38 5671664.44, 6420451.33 5671661.42, 6420451.08 5671625.86))"
O-25,1.0,,618,87.82931672172498,"MULTILINESTRING ((6420788.83 5671619.69, 6420788.93 5671623.24, 6420798.91 5671625.67, 6420826.89 5671669.03, 6420833.59 5671684, 6420837.48 5671688.57))"
