ID_mpwik,geometry
58142,POINT (6425435.18 5668711.31)
58144,POINT (6425384.88 5668748.33)
90299,POINT (6434487.08 5666993.48)
90303,POINT (6434733.08 5667447.28)
90305,POINT (6434608.79 5667393.33)
60884,POINT (6428204 5667118.03)
60886,POINT (6428180.37 5667125.98)
821879,POINT (6431381.94 5657387.8)
60810,POINT (6428658.51 5667369.83)
821894,POINT (6431856.68 5657701.62)
62062,POINT (6427611.67 5666556.92)
62064,POINT (6427607.16 5666547.33)
62066,POINT (6427678.65 5666549.53)
62068,POINT (6427662.93 5666557.55)
62070,POINT (6427643.39 5666567.56)
821895,POINT (6431849.3 5657702.21)
62074,POINT (6427414.14 5666576.89)
821878,POINT (6431316.96 5657372.6)
62078,POINT (6427352.04 5666643.41)
62082,POINT (6427366.71 5666673.86)
62084,POINT (6427373.95 5666688.74)
62086,POINT (6427383.23 5666700.01)
62088,POINT (6427408.56 5666587.52)
62092,POINT (6427541.82 5666616.77)
62094,POINT (6427576.94 5666587.32)
59836,POINT (6432656.97 5667743.85)
58630,POINT (6424657.52 5665264.89)
58632,POINT (6424663.01 5665177.51)
58634,POINT (6424665.57 5665133.14)
92131,POINT (6425815.5 5663613.98)
92135,POINT (6425809.87 5663752.29)
92137,POINT (6425814.6 5663666.17)
92145,POINT (6425877.36 5663585.53)
92151,POINT (6425898.92 5663668.63)
92165,POINT (6426035.64 5663723.72)
92171,POINT (6425981.61 5663592.06)
92173,POINT (6425809.32 5663761.16)
92177,POINT (6425820.04 5663703.52)
894082,POINT (6431992.23 5663619.9)
894084,POINT (6427132.83 5666472.4)
894086,POINT (6432337.92 5668396.55)
894090,POINT (6435563.83 5665777.39)
894096,POINT (6429630.54 5659262.94)
894100,POINT (6427771.44 5658820.02)
60794,POINT (6428589.23 5667366.88)
60796,POINT (6428579.42 5667368.97)
60798,POINT (6428605.19 5667364.09)
61066,POINT (6428019.37 5667482.06)
61068,POINT (6428028.03 5667490.71)
61072,POINT (6428052.76 5667514.21)
61074,POINT (6428061.89 5667523.23)
61076,POINT (6428106.13 5667372.16)
61078,POINT (6428064.8 5667329.38)
61080,POINT (6428032.05 5667405.33)
61082,POINT (6428052.82 5667392.72)
61084,POINT (6428056.26 5667390.99)
61088,POINT (6428036.89 5667364.42)
61090,POINT (6428045.42 5667364.59)
61092,POINT (6428014.44 5667403.04)
61094,POINT (6428002.29 5667389)
61098,POINT (6428003.34 5667378.38)
61100,POINT (6428003.08 5667383.92)
61102,POINT (6427970.6 5667329.96)
61106,POINT (6427816.27 5667453.27)
61108,POINT (6427763.4 5667418.17)
61110,POINT (6427813.24 5667421.22)
61112,POINT (6427859.84 5667431.74)
61114,POINT (6427901.88 5667453.94)
61116,POINT (6427939.56 5667482.81)
61118,POINT (6427976.26 5667512.3)
61120,POINT (6427893.67 5667180.4)
61122,POINT (6428083.63 5667126.23)
61124,POINT (6427794.16 5667279.85)
61126,POINT (6427802.82 5667271.47)
62312,POINT (6427457.41 5666515.14)
62316,POINT (6427493.63 5666497.75)
62318,POINT (6427487.32 5666489.84)
62320,POINT (6427506.39 5666480.29)
62322,POINT (6427517.32 5666471.99)
62324,POINT (6427600.61 5666534.36)
62326,POINT (6427594.79 5666521.72)
62328,POINT (6427589.72 5666512.05)
62330,POINT (6427615.92 5666446.87)
62332,POINT (6427568.49 5666470.42)
62334,POINT (6427571.63 5666469.43)
62336,POINT (6427596.49 5666457.09)
62338,POINT (6427562.06 5666451.13)
62340,POINT (6427535.74 5666464.6)
62342,POINT (6427684.69 5666519.35)
62344,POINT (6427663.08 5666496.46)
62346,POINT (6427666.92 5666503.71)
62348,POINT (6427682.15 5666514.09)
62352,POINT (6427592.34 5666401.88)
62354,POINT (6427578.27 5666408.3)
801858,POINT (6435693.12 5657833.82)
62126,POINT (6428340.77 5666713.9)
62056,POINT (6427659.36 5666589.75)
62058,POINT (6427618.69 5666567.77)
58296,POINT (6420761.2 5668484.52)
58302,POINT (6420804.29 5668454.14)
61162,POINT (6428073.78 5667169.8)
61164,POINT (6428073.75 5667162.26)
61166,POINT (6428073.12 5667127.63)
61168,POINT (6428112.77 5667063.46)
59898,POINT (6432684.8 5667542.51)
61134,POINT (6427856.24 5667218.1)
61136,POINT (6427833.06 5667193.27)
61140,POINT (6427928.89 5667225.32)
61142,POINT (6427928.47 5667247.12)
61144,POINT (6427924.06 5667280.59)
61146,POINT (6427925.79 5667267.57)
61150,POINT (6427936.65 5667254.15)
61152,POINT (6427947.61 5667240.58)
61154,POINT (6428107.4 5667228.05)
61156,POINT (6428114.31 5667225.36)
61158,POINT (6428111.65 5667202.28)
61160,POINT (6428090.08 5667197.84)
93089,POINT (6427978.46 5665742.1)
93091,POINT (6428032.64 5665774.38)
93105,POINT (6432126.88 5665107.64)
93115,POINT (6431219.12 5663999.91)
93123,POINT (6427986.8 5665923.97)
93125,POINT (6427710.52 5665786.55)
93127,POINT (6427861.11 5665984.45)
93269,POINT (6431790.74 5669300.37)
93281,POINT (6426200.27 5665917.83)
61182,POINT (6428086.52 5667100.02)
61186,POINT (6428073.34 5667140.64)
61188,POINT (6428087.39 5667179.84)
61190,POINT (6428082.32 5667184.84)
58326,POINT (6420650.44 5668337.34)
59558,POINT (6427464.32 5667855.17)
59560,POINT (6427437.06 5667884.11)
59562,POINT (6427437.11 5667937.36)
59564,POINT (6427404.17 5667968.16)
59566,POINT (6427385.68 5667987.46)
59568,POINT (6427436.66 5667922.86)
59570,POINT (6427449.17 5667919.89)
59572,POINT (6427667.63 5667909.59)
59574,POINT (6427667.53 5667897.13)
59576,POINT (6427675.55 5667893.51)
59578,POINT (6427675.19 5667867.01)
59580,POINT (6427665.26 5667857.12)
59582,POINT (6427641.07 5667858.04)
59584,POINT (6427685.7 5667925.62)
59586,POINT (6427704.91 5667924.81)
59590,POINT (6427716.1 5667950.84)
59596,POINT (6427549.96 5668019.73)
