ID_mpwik,geometry
547490,POINT (6430509.1 5659107.93)
547502,POINT (6430399.06 5658712.96)
547503,POINT (6430386.04 5658711.85)
547504,POINT (6430384.61 5658698.12)
547505,POINT (6430393.98 5658696.45)
547509,POINT (6429777.24 5658919)
547507,POINT (6430383.26 5658661.68)
547508,POINT (6430377.87 5658663.43)
583435,POINT (6432567.95 5669230.06)
583436,POINT (6432572.74 5669229.75)
643288,POINT (6428146.46 5658881.52)
642869,POINT (6439587.07 5667501.43)
602949,POINT (6427010.06 5662978.86)
584691,POINT (6427743.45 5667275.95)
578703,POINT (6429103.45 5665904.46)
609979,POINT (6437415.88 5662407.37)
583913,POINT (6434809.18 5667342.39)
556752,POINT (6430133.73 5671950.14)
556753,POINT (6430127.65 5671950.4)
583914,POINT (6434824.52 5667317.92)
583915,POINT (6434817.76 5667314.06)
583916,POINT (6434820.53 5667309.11)
583917,POINT (6434829.09 5667311.21)
583918,POINT (6434843.19 5667287.61)
583919,POINT (6434835.78 5667283.26)
556751,POINT (6430044.01 5672011.29)
583920,POINT (6434858.46 5667261.95)
583921,POINT (6434850.74 5667257.46)
583924,POINT (6434803.62 5667340.36)
644173,POINT (6438285.02 5664930.64)
644174,POINT (6438297.63 5664926.24)
644175,POINT (6438300.9 5664921.38)
644189,POINT (6438175.46 5664736.38)
644190,POINT (6438173.06 5664731.45)
644522,POINT (6431468.04 5662603.33)
644749,POINT (6427877.16 5659000.98)
644775,POINT (6426287.05 5665045.09)
644776,POINT (6426294.62 5665049.22)
610175,POINT (6433868.04 5658053.29)
610176,POINT (6433868.53 5658043.63)
610177,POINT (6433827.46 5658045.61)
610178,POINT (6433824.48 5658054.15)
610179,POINT (6433799.32 5658057.07)
610180,POINT (6433798.86 5658051.7)
610181,POINT (6433780.2 5658058.04)
556758,POINT (6430129.41 5671896.23)
556759,POINT (6430123.32 5671896.01)
556794,POINT (6421510.3 5665721.92)
556795,POINT (6421510.06 5665715.26)
556796,POINT (6421502.77 5665715.83)
610182,POINT (6433780.19 5658052.63)
644141,POINT (6438295.4 5664820.03)
643513,POINT (6428716.58 5659722.13)
643514,POINT (6428710.92 5659683.34)
643515,POINT (6428709.07 5659668.28)
