Sektor_ID,Lat,Lon,Data,NDVI,NDWI,NDMI
S_1,50.96,16.71,2023-06-01,0.7008,-0.6606,0.346
S_1,50.96,16.71,2023-07-01,0.6203,-0.6261,0.251
S_1,50.96,16.71,2023-08-01,0.5897,-0.5835,0.1402
S_1,50.96,16.71,2023-09-01,0.6351,-0.619,0.1824
S_1,50.96,16.71,2023-10-01,0.5356,-0.55,0.0885
S_1,50.96,16.71,2023-11-01,0.6535,-0.6459,0.1834
S_1,50.96,16.71,2023-12-01,0.3419,-0.4025,0.0758
S_1,50.96,16.71,2024-01-01,0.1972,-0.2103,0.6759
S_1,50.96,16.71,2024-02-01,0.5107,-0.5668,0.0849
S_1,50.96,16.71,2024-03-01,0.4168,-0.4785,-0.0232
S_1,50.96,16.71,2024-04-01,0.6935,-0.6379,0.3224
S_1,50.96,16.71,2024-05-01,0.7666,-0.7026,0.3974
S_1,50.96,16.71,2024-06-01,0.6463,-0.574,0.3588
S_1,50.96,16.71,2024-07-01,0.5112,-0.5184,0.0768
S_1,50.96,16.71,2024-08-01,0.4469,-0.4929,0.0198
S_1,50.96,16.71,2024-09-01,0.5473,-0.5464,0.1386
S_1,50.96,16.71,2024-10-01,0.5912,-0.5795,0.1434
S_1,50.96,16.71,2024-11-01,0.6142,-0.5989,0.1936
S_1,50.96,16.71,2024-12-01,0.1459,-0.2091,0.0286
S_1,50.96,16.71,2025-01-01,0.562,-0.6082,0.1677
S_1,50.96,16.71,2025-02-01,0.4,-0.4302,0.2892
S_1,50.96,16.71,2025-03-01,0.5072,-0.5386,0.093
S_1,50.96,16.71,2025-04-01,0.6088,-0.5927,0.1795
S_1,50.96,16.71,2025-05-01,0.7836,-0.6835,0.4413
S_1,50.96,16.71,2025-06-01,0.7363,-0.6732,0.4301
S_1,50.96,16.71,2025-07-01,0.3429,-0.3532,0.0785
S_1,50.96,16.71,2025-08-01,0.4685,-0.5098,0.0459
S_1,50.96,16.71,2025-09-01,0.4713,-0.5053,0.0563
S_1,50.96,16.71,2025-10-01,0.3427,-0.3082,0.122
S_1,50.96,16.71,2025-11-01,0.5472,-0.5902,0.0963
S_1,50.96,16.71,2025-12-01,0.5058,-0.5368,0.1105
S_1,50.96,16.71,2026-01-01,0.0973,-0.1049,0.3449
S_1,50.96,16.71,2026-02-01,0.3711,-0.4629,-0.0486
S_1,50.96,16.71,2026-03-01,0.3693,-0.4499,-0.041
S_10,51.14,16.71,2023-06-01,0.7378,-0.6797,0.49
S_10,51.14,16.71,2023-07-01,0.4434,-0.5073,0.1642
S_10,51.14,16.71,2023-08-01,0.3911,-0.4125,-0.0066
S_10,51.14,16.71,2023-09-01,0.3771,-0.4291,-0.0378
S_10,51.14,16.71,2023-10-01,0.4664,-0.4715,0.0502
S_10,51.14,16.71,2023-11-01,0.6588,-0.6429,0.2566
S_10,51.14,16.71,2023-12-01,0.4249,-0.3844,0.2687
S_10,51.14,16.71,2024-01-01,0.4518,-0.4664,0.4052
S_10,51.14,16.71,2024-02-01,0.6037,-0.6123,0.2446
S_10,51.14,16.71,2024-03-01,0.2521,-0.253,0.1089
S_10,51.14,16.71,2024-04-01,0.6779,-0.6453,0.3629
S_10,51.14,16.71,2024-05-01,0.6701,-0.6373,0.3905
S_10,51.14,16.71,2024-06-01,0.6624,-0.5933,0.3315
S_10,51.14,16.71,2024-07-01,0.3621,-0.4299,-0.0573
