Sektor_ID,Lat,Lon,dist_to_ditch,manholes_300m,in_basin,NDVI,NDWI,NDMI,Forecast_Date,Step
S_1,50.96,16.71,19204.135492674224,0,0,0.36735404,-0.4481784,-0.0444272,2026-03-01,1
S_10,51.14,16.71,6812.088247351817,0,0,0.4269581,-0.45136258,0.1362413,2026-03-01,1
S_100,51.14,16.83,299.0414108789792,0,0,0.3734407,-0.46356484,-0.107119665,2026-03-01,1
S_101,51.16,16.83,193.31260986371728,0,0,0.27224153,-0.37118968,-0.12711897,2026-03-01,1
S_102,51.18,16.83,218.76394220477843,0,0,0.38030618,-0.46499383,-0.09753148,2026-03-01,1
S_103,51.2,16.83,1750.830765751724,0,0,0.3054355,-0.40091237,-0.1150634,2026-03-01,1
S_104,51.22,16.83,3972.279685462268,0,0,0.30654165,-0.41292334,-0.13355745,2026-03-01,1
S_105,51.24,16.83,5445.385947041962,0,0,0.2592569,-0.32468098,-0.111398846,2026-03-01,1
S_106,50.96,16.85,12984.678140135651,0,0,0.33851442,-0.41101184,-0.07450245,2026-03-01,1
S_107,50.98,16.85,11325.094646471813,0,0,0.30884495,-0.40287715,-0.13201608,2026-03-01,1
S_108,51.0,16.85,9861.896499378292,0,0,0.26830828,-0.37727505,-0.12409518,2026-03-01,1
S_109,51.02,16.85,8418.741567826879,0,0,0.30446824,-0.38393393,-0.04694594,2026-03-01,1
S_11,51.16,16.71,7197.1030753367495,0,0,0.33650953,-0.41056094,-0.043949828,2026-03-01,1
S_110,51.04,16.85,6723.889490045874,0,0,0.3073893,-0.40890294,-0.11560316,2026-03-01,1
S_111,51.06,16.85,5421.191720799655,0,0,0.25093117,-0.3640325,-0.20452668,2026-03-01,1
S_112,51.08,16.85,3253.6617859423213,0,0,0.26401672,-0.3766977,-0.18657456,2026-03-01,1
S_113,51.1,16.85,1042.0817532091585,0,0,0.31346878,-0.40421635,-0.094392136,2026-03-01,1
S_114,51.12,16.85,152.9756075835791,0,0,0.34777132,-0.4323115,-0.12295435,2026-03-01,1
S_115,51.14,16.85,30.375214416566127,145,0,0.32674816,-0.42069632,-0.10607014,2026-03-01,1
S_116,51.16,16.85,129.81078397110568,0,0,0.36893877,-0.44917953,-0.07746163,2026-03-01,1
S_117,51.18,16.85,328.7539166104857,0,0,0.42768446,-0.5003956,-0.066821635,2026-03-01,1
S_118,51.2,16.85,2136.925593380406,0,0,0.31526583,-0.41518837,-0.108164795,2026-03-01,1
S_119,51.22,16.85,2891.784132546267,0,0,0.2405268,-0.32738614,-0.11784396,2026-03-01,1
S_12,51.18,16.71,7880.060446899775,0,0,0.4695564,-0.5049916,0.07056918,2026-03-01,1
S_120,51.24,16.85,4629.559266687689,0,0,0.22185841,-0.294101,-0.122870296,2026-03-01,1
S_121,50.96,16.87,12162.057822383023,0,0,0.287148,-0.40348548,-0.13796821,2026-03-01,1
S_122,50.98,16.87,10372.104290519828,0,0,0.3296092,-0.4429551,-0.18334918,2026-03-01,1
S_123,51.0,16.87,8783.28397005277,0,0,0.29007903,-0.39561957,-0.12072388,2026-03-01,1
S_124,51.02,16.87,7374.158792219467,0,0,0.38566327,-0.43525916,-0.0046369606,2026-03-01,1
S_125,51.04,16.87,5793.450664727714,0,0,0.334717,-0.40738958,-0.11057747,2026-03-01,1
S_126,51.06,16.87,4219.665969002121,0,0,0.25313145,-0.36417994,-0.18434912,2026-03-01,1
S_127,51.08,16.87,3145.7712341569377,0,0,0.31540066,-0.40248302,-0.11562506,2026-03-01,1
S_128,51.1,16.87,997.1952678499712,0,0,0.28607816,-0.38375694,-0.1508491,2026-03-01,1
S_129,51.12,16.87,75.42879838910036,42,0,0.2945046,-0.38553414,-0.10897709,2026-03-01,1
S_13,51.2,16.71,8327.208531487542,0,0,0.40503234,-0.4898237,-0.07384922,2026-03-01,1
S_130,51.14,16.87,95.03052149332436,144,0,0.30590054,-0.39806062,-0.11237951,2026-03-01,1
S_132,51.18,16.87,62.120452330665,0,0,0.401238,-0.47685665,-0.067996845,2026-03-01,1
S_134,51.22,16.87,2011.4215042469016,0,0,0.3633435,-0.4437464,-0.085442334,2026-03-01,1
S_136,50.96,16.89,11452.977110542222,0,0,0.32648492,-0.4398431,-0.19392848,2026-03-01,1
S_137,50.98,16.89,9531.1532212864,0,0,0.35426936,-0.46116078,-0.16462968,2026-03-01,1
S_139,51.02,16.89,6287.684180771339,0,0,0.19705062,-0.2540453,-0.02858319,2026-03-01,1
S_14,51.22,16.71,9167.625026369526,0,0,0.38536718,-0.47157747,-0.077407815,2026-03-01,1
S_141,51.06,16.89,3177.13745578146,0,0,0.3522146,-0.40696245,-0.035166197,2026-03-01,1
S_143,51.1,16.89,584.150058798024,0,0,0.2814687,-0.36287773,-0.11746993,2026-03-01,1
S_144,51.12,16.89,29.2480101924891,21,0,0.28797278,-0.38211498,-0.11658695,2026-03-01,1
S_146,51.16,16.89,88.52606590553637,16,0,0.32846874,-0.40919265,-0.100601085,2026-03-01,1
S_148,51.2,16.89,128.5731600417197,0,0,0.2886413,-0.39503056,-0.14951092,2026-03-01,1
S_149,51.22,16.89,1612.966088400308,0,0,0.31575236,-0.38886976,-0.109011486,2026-03-01,1
S_15,51.24,16.71,10346.277459912872,0,0,0.26308978,-0.37121546,-0.141014,2026-03-01,1
