Sektor_ID,Data,Lat,Lon,NDVI,NDWI,NDMI,dist_to_ditch,manholes_300m,in_basin
S_1,2023-06-01,50.96,16.71,0.7008,-0.6606,0.346,19204.135492674224,0,0
S_1,2023-07-01,50.96,16.71,0.6203,-0.6261,0.251,19204.135492674224,0,0
S_1,2023-08-01,50.96,16.71,0.5897,-0.5835,0.1402,19204.135492674224,0,0
S_1,2023-09-01,50.96,16.71,0.6351,-0.619,0.1824,19204.135492674224,0,0
S_1,2023-10-01,50.96,16.71,0.5356,-0.55,0.0885,19204.135492674224,0,0
S_1,2023-11-01,50.96,16.71,0.6535,-0.6459,0.1834,19204.135492674224,0,0
S_1,2023-12-01,50.96,16.71,0.3419,-0.4025,0.0758,19204.135492674224,0,0
S_1,2024-01-01,50.96,16.71,0.1972,-0.2103,0.6759,19204.135492674224,0,0
S_1,2024-02-01,50.96,16.71,0.5107,-0.5668,0.0849,19204.135492674224,0,0
S_1,2024-03-01,50.96,16.71,0.6021,-0.6023,0.2036,19204.135492674224,0,0
S_1,2024-04-01,50.96,16.71,0.6935,-0.6379,0.3224,19204.135492674224,0,0
S_1,2024-05-01,50.96,16.71,0.7666,-0.7026,0.3974,19204.135492674224,0,0
S_1,2024-06-01,50.96,16.71,0.6463,-0.574,0.3588,19204.135492674224,0,0
S_1,2024-07-01,50.96,16.71,0.5112,-0.5184,0.0768,19204.135492674224,0,0
S_1,2024-08-01,50.96,16.71,0.4469,-0.4929,0.0198,19204.135492674224,0,0
S_1,2024-09-01,50.96,16.71,0.5473,-0.5464,0.1386,19204.135492674224,0,0
S_1,2024-10-01,50.96,16.71,0.5912,-0.5795,0.1434,19204.135492674224,0,0
S_1,2024-11-01,50.96,16.71,0.6142,-0.5989,0.1936,19204.135492674224,0,0
S_1,2024-12-01,50.96,16.71,0.5881,-0.6036,0.1806,19204.135492674224,0,0
S_1,2025-01-01,50.96,16.71,0.562,-0.6082,0.1677,19204.135492674224,0,0
S_1,2025-02-01,50.96,16.71,0.4,-0.4302,0.2892,19204.135492674224,0,0
S_1,2025-03-01,50.96,16.71,0.5072,-0.5386,0.093,19204.135492674224,0,0
S_1,2025-04-01,50.96,16.71,0.6088,-0.5927,0.1795,19204.135492674224,0,0
S_1,2025-05-01,50.96,16.71,0.7836,-0.6835,0.4413,19204.135492674224,0,0
S_1,2025-06-01,50.96,16.71,0.7363,-0.6732,0.4301,19204.135492674224,0,0
S_1,2025-07-01,50.96,16.71,0.6024,-0.5915,0.238,19204.135492674224,0,0
S_1,2025-08-01,50.96,16.71,0.4685,-0.5098,0.0459,19204.135492674224,0,0
S_1,2025-09-01,50.96,16.71,0.4713,-0.5053,0.0563,19204.135492674224,0,0
