Sektor_ID,Lat,Lon,Data,NDVI,NDWI,NDMI
S_1,51.03,16.81,2023-06-01,0.6526,-0.6285,0.3776
S_1,51.03,16.81,2023-07-01,0.4715,-0.529,0.1718
S_1,51.03,16.81,2023-08-01,0.4384,-0.4367,0.106
S_1,51.03,16.81,2023-09-01,0.4482,-0.4789,0.061
S_1,51.03,16.81,2023-10-01,0.4747,-0.4812,0.0657
S_1,51.03,16.81,2023-11-01,0.5655,-0.5762,0.2013
S_1,51.03,16.81,2023-12-01,0.2543,-0.2771,0.0618
S_1,51.03,16.81,2024-01-01,0.2128,-0.2273,0.6314
S_1,51.03,16.81,2024-02-01,0.4909,-0.5312,0.1415
S_1,51.03,16.81,2024-03-01,0.541,-0.5105,0.2339
S_1,51.03,16.81,2024-04-01,0.5649,-0.5442,0.2666
S_1,51.03,16.81,2024-05-01,0.5888,-0.5779,0.2992
S_1,51.03,16.81,2024-06-01,0.6064,-0.566,0.2545
S_1,51.03,16.81,2024-07-01,0.4025,-0.4392,0.0363
S_1,51.03,16.81,2024-08-01,0.4793,-0.4988,0.0899
S_1,51.03,16.81,2024-09-01,0.4387,-0.4696,0.0412
S_1,51.03,16.81,2024-10-01,0.6805,-0.6276,0.3519
S_1,51.03,16.81,2024-11-01,0.4408,-0.477,0.0863
S_1,51.03,16.81,2024-12-01,0.2166,-0.2619,0.1617
S_1,51.03,16.81,2025-01-01,0.5009,-0.5306,0.1857
S_1,51.03,16.81,2025-02-01,0.2093,-0.227,0.6249
S_1,51.03,16.81,2025-03-01,0.5496,-0.5382,0.183
S_1,51.03,16.81,2025-04-01,0.6377,-0.6105,0.2693
S_1,51.03,16.81,2025-05-01,0.6478,-0.6157,0.3928
S_1,51.03,16.81,2025-06-01,0.585,-0.5991,0.3091
S_1,51.03,16.81,2025-07-01,0.2541,-0.3745,-0.0695
S_1,51.03,16.81,2025-08-01,0.4108,-0.4636,0.0281
S_1,51.03,16.81,2025-09-01,0.3537,-0.4184,-0.0294
S_1,51.03,16.81,2025-10-01,0.3837,-0.4512,-0.0079
S_1,51.03,16.81,2025-11-01,0.4137,-0.484,0.0135
S_1,51.03,16.81,2025-12-01,0.4587,-0.5098,0.1159
S_1,51.03,16.81,2026-01-01,0.396,-0.4586,0.0483
S_1,51.03,16.81,2026-02-01,0.3332,-0.4075,-0.0193
S_1,51.03,16.81,2026-03-01,0.3424,-0.4063,-0.0176
S_10,51.11,16.83,2023-06-01,0.7707,-0.6976,0.3497
S_10,51.11,16.83,2023-07-01,0.7299,-0.6756,0.252
S_10,51.11,16.83,2023-08-01,0.6726,-0.6222,0.2176
S_10,51.11,16.83,2023-09-01,0.7883,-0.7118,0.2914
S_10,51.11,16.83,2023-10-01,0.7346,-0.6734,0.2205
S_10,51.11,16.83,2023-11-01,0.6215,-0.6349,0.122
S_10,51.11,16.83,2023-12-01,0.1946,-0.1928,0.4299
S_10,51.11,16.83,2024-01-01,0.2797,-0.3156,0.3528
S_10,51.11,16.83,2024-02-01,0.4907,-0.5761,0.015
S_10,51.11,16.83,2024-03-01,0.572,-0.586,0.1079
S_10,51.11,16.83,2024-04-01,0.6533,-0.596,0.2008
S_10,51.11,16.83,2024-05-01,0.7191,-0.6525,0.2602
S_10,51.11,16.83,2024-06-01,0.7063,-0.6408,0.2321
S_10,51.11,16.83,2024-07-01,0.7046,-0.6436,0.2056
S_10,51.11,16.83,2024-08-01,0.7777,-0.7066,0.2443
S_10,51.11,16.83,2024-09-01,0.5967,-0.5433,0.2692
S_10,51.11,16.83,2024-10-01,0.6159,-0.6083,0.0791
S_10,51.11,16.83,2024-11-01,0.5409,-0.5431,0.0676
S_10,51.11,16.83,2024-12-01,0.3606,-0.3683,0.0611
S_10,51.11,16.83,2025-01-01,0.4734,-0.5389,0.0127
S_10,51.11,16.83,2025-02-01,0.4059,-0.4684,0.1113
S_10,51.11,16.83,2025-03-01,0.4196,-0.4674,-0.0617
S_10,51.11,16.83,2025-04-01,0.5201,-0.5289,-0.0046
S_10,51.11,16.83,2025-05-01,0.7609,-0.6575,0.3265
S_10,51.11,16.83,2025-06-01,0.7581,-0.703,0.2844
S_10,51.11,16.83,2025-07-01,0.7075,-0.6522,0.2322
S_10,51.11,16.83,2025-08-01,0.7584,-0.6972,0.2564
S_10,51.11,16.83,2025-09-01,0.7759,-0.7071,0.2546
S_10,51.11,16.83,2025-10-01,0.6921,-0.6716,0.1618
S_10,51.11,16.83,2025-11-01,0.6082,-0.6361,0.0689
S_10,51.11,16.83,2025-12-01,0.5313,-0.6049,0.0581
S_10,51.11,16.83,2026-01-01,0.4513,-0.5399,-0.029
S_10,51.11,16.83,2026-02-01,0.3713,-0.4749,-0.116
S_10,51.11,16.83,2026-03-01,0.3612,-0.4531,-0.1145
S_11,51.03,16.85,2023-06-01,0.6151,-0.6001,0.3162
S_11,51.03,16.85,2023-07-01,0.4487,-0.502,0.1293
S_11,51.03,16.85,2023-08-01,0.4962,-0.4955,0.0798
S_11,51.03,16.85,2023-09-01,0.4823,-0.5104,0.0405
S_11,51.03,16.85,2023-10-01,0.418,-0.4631,-0.0366
