Sektor_ID,Lat,Lon,Pred_NDVI,Pred_NDWI,Pred_NDMI,Forecast_Date,Step
S_1,51.03,16.81,0.3953626,-0.43009907,0.014338768,2026-04-01,1
S_10,51.11,16.83,0.43807697,-0.49675214,-0.057360254,2026-04-01,1
S_11,51.03,16.85,0.39028558,-0.45465276,0.030062156,2026-04-01,1
S_12,51.05,16.85,0.36128443,-0.4388612,0.060005717,2026-04-01,1
S_13,51.07,16.85,0.37395978,-0.44569343,-0.14108892,2026-04-01,1
S_14,51.09,16.85,0.3821161,-0.4596747,-0.09677982,2026-04-01,1
S_15,51.11,16.85,0.42423084,-0.49157485,0.085499555,2026-04-01,1
S_16,51.03,16.87,0.50555485,-0.49775392,0.047419272,2026-04-01,1
S_17,51.05,16.87,0.36030892,-0.43369475,-0.15979801,2026-04-01,1
S_18,51.07,16.87,0.3599759,-0.42124054,-0.12652901,2026-04-01,1
S_19,51.09,16.87,0.38062215,-0.45769343,-0.12181947,2026-04-01,1
S_2,51.05,16.81,0.37643033,-0.45081997,-0.107849754,2026-04-01,1
S_20,51.11,16.87,0.36547476,-0.42429295,-0.09114025,2026-04-01,1
S_21,51.03,16.89,0.36507455,-0.41561833,0.078038014,2026-04-01,1
S_22,51.05,16.89,0.36667803,-0.4030757,0.04267809,2026-04-01,1
S_23,51.07,16.89,0.4264118,-0.46823812,-0.006253643,2026-04-01,1
S_24,51.09,16.89,0.39968002,-0.4847931,-0.09196338,2026-04-01,1
S_25,51.11,16.89,0.36583763,-0.43053854,0.088166505,2026-04-01,1
S_26,51.03,16.91,0.373821,-0.44126013,-0.058489427,2026-04-01,1
S_27,51.05,16.91,0.4140445,-0.47880238,-0.04653317,2026-04-01,1
S_28,51.07,16.91,0.41507617,-0.4797597,-0.047220282,2026-04-01,1
S_29,51.09,16.91,0.4071184,-0.46900728,-0.11317625,2026-04-01,1
S_3,51.07,16.81,0.41306674,-0.46498975,-0.02945636,2026-04-01,1
S_30,51.11,16.91,0.38877714,-0.45532987,-0.061570615,2026-04-01,1
S_4,51.09,16.81,0.41231057,-0.48600385,-0.054980643,2026-04-01,1
S_5,51.11,16.81,0.39012846,-0.44940433,-0.013631862,2026-04-01,1
S_6,51.03,16.83,0.42201355,-0.4717785,0.0043410263,2026-04-01,1
S_7,51.05,16.83,0.37813118,-0.45988652,-0.11530713,2026-04-01,1
S_8,51.07,16.83,0.3539554,-0.42857975,-0.074487165,2026-04-01,1
S_9,51.09,16.83,0.40939078,-0.48835284,-0.059364032,2026-04-01,1
