Sektor_ID,Lat,Lon,Pred_NDVI,Pred_NDWI,Pred_NDMI,Forecast_Date,Step
S_1,51.03,16.81,0.49208745,-0.47850788,0.16597468,2026-04-17,1
S_10,51.11,16.83,0.43175817,-0.455979,0.004038748,2026-04-17,1
S_11,51.03,16.85,0.45225164,-0.46560976,0.10616603,2026-04-17,1
S_12,51.05,16.85,0.24620813,-0.31055623,-0.076435246,2026-04-17,1
S_13,51.07,16.85,0.26135662,-0.34757423,-0.16491611,2026-04-17,1
S_14,51.09,16.85,0.3547815,-0.37957773,0.030351372,2026-04-17,1
S_15,51.11,16.85,0.44655728,-0.45212975,0.12812853,2026-04-17,1
S_16,51.03,16.87,0.4656321,-0.47168913,0.21389866,2026-04-17,1
S_17,51.05,16.87,0.252158,-0.30961314,-0.06729357,2026-04-17,1
S_18,51.07,16.87,0.28003427,-0.35439998,-0.05585368,2026-04-17,1
S_19,51.09,16.87,0.47843665,-0.480272,0.0032385103,2026-04-17,1
S_2,51.05,16.81,0.30715805,-0.3792318,-0.018660355,2026-04-17,1
S_20,51.11,16.87,0.25276157,-0.2888014,-0.0021313697,2026-04-17,1
S_21,51.03,16.89,0.29680553,-0.35140195,0.031652313,2026-04-17,1
S_22,51.05,16.89,0.47599006,-0.46529475,0.12354529,2026-04-17,1
S_23,51.07,16.89,0.3969516,-0.42197448,0.055266123,2026-04-17,1
S_24,51.09,16.89,0.41078782,-0.4398538,0.0011616574,2026-04-17,1
S_25,51.11,16.89,0.32031313,-0.37566012,-0.005926719,2026-04-17,1
S_26,51.03,16.91,0.26878592,-0.31660843,-0.06809368,2026-04-17,1
S_27,51.05,16.91,0.38460523,-0.40608576,0.03816722,2026-04-17,1
S_28,51.07,16.91,0.3926215,-0.42513177,-0.0012357363,2026-04-17,1
S_29,51.09,16.91,0.34893838,-0.4031704,-0.09475422,2026-04-17,1
S_3,51.07,16.81,0.4781743,-0.5082788,0.10962729,2026-04-17,1
S_30,51.11,16.91,0.3122314,-0.24068443,0.08631227,2026-04-17,1
S_4,51.09,16.81,0.44051215,-0.45907974,0.027186355,2026-04-17,1
S_5,51.11,16.81,0.4327789,-0.45470396,0.031809356,2026-04-17,1
S_6,51.03,16.83,0.4639472,-0.47359964,0.10748391,2026-04-17,1
S_7,51.05,16.83,0.36329815,-0.40348446,-0.0011330338,2026-04-17,1
S_8,51.07,16.83,0.44633687,-0.4774284,0.07031851,2026-04-17,1
S_9,51.09,16.83,0.4391252,-0.45230225,0.0019400349,2026-04-17,1
S_1,51.03,16.81,0.47898525,-0.47168112,0.16511126,2026-04-22,2
S_10,51.11,16.83,0.4241762,-0.4530788,0.019121991,2026-04-22,2
S_11,51.03,16.85,0.4370782,-0.44742146,0.101232864,2026-04-22,2
S_12,51.05,16.85,0.2404702,-0.31565657,-0.059982266,2026-04-22,2
S_13,51.07,16.85,0.2554076,-0.29309544,-0.13053866,2026-04-22,2
S_14,51.09,16.85,0.37336022,-0.4030894,0.035019178,2026-04-22,2
S_15,51.11,16.85,0.44693798,-0.45711082,0.13106257,2026-04-22,2
S_16,51.03,16.87,0.43501163,-0.461304,0.18761154,2026-04-22,2
S_17,51.05,16.87,0.24699597,-0.3128139,-0.051709346,2026-04-22,2
S_18,51.07,16.87,0.27383432,-0.35419938,-0.049891245,2026-04-22,2
S_19,51.09,16.87,0.4559817,-0.46159714,0.011945783,2026-04-22,2
S_2,51.05,16.81,0.30893606,-0.36204195,0.03790448,2026-04-22,2
S_20,51.11,16.87,0.2682789,-0.3036644,0.0076550785,2026-04-22,2
S_21,51.03,16.89,0.28699484,-0.33521163,0.054489363,2026-04-22,2
S_22,51.05,16.89,0.45601138,-0.4443595,0.10756358,2026-04-22,2
S_23,51.07,16.89,0.39541999,-0.4228027,0.067649655,2026-04-22,2
S_24,51.09,16.89,0.4258706,-0.43909755,0.00574708,2026-04-22,2
S_25,51.11,16.89,0.31845257,-0.36686537,0.011814622,2026-04-22,2
S_26,51.03,16.91,0.30478412,-0.32433802,-0.04042954,2026-04-22,2
S_27,51.05,16.91,0.38836342,-0.4065169,0.034257833,2026-04-22,2
S_28,51.07,16.91,0.39255258,-0.4266954,0.0098793125,2026-04-22,2
S_29,51.09,16.91,0.36254412,-0.38890415,-0.057516154,2026-04-22,2
S_3,51.07,16.81,0.45223185,-0.49224335,0.11135575,2026-04-22,2
S_30,51.11,16.91,0.41736218,-0.33637014,0.08036372,2026-04-22,2
S_4,51.09,16.81,0.43693033,-0.45754436,0.042330932,2026-04-22,2
S_5,51.11,16.81,0.42743656,-0.4518545,0.03592087,2026-04-22,2
S_6,51.03,16.83,0.4512352,-0.46397638,0.10329979,2026-04-22,2
S_7,51.05,16.83,0.35728085,-0.4022053,0.006409068,2026-04-22,2
S_8,51.07,16.83,0.42153758,-0.45923868,0.056850016,2026-04-22,2
S_9,51.09,16.83,0.42935172,-0.45614788,0.015088401,2026-04-22,2
S_1,51.03,16.81,0.45878685,-0.4599735,0.15859048,2026-04-27,3
S_10,51.11,16.83,0.42665452,-0.44733933,0.027918983,2026-04-27,3
S_11,51.03,16.85,0.41435513,-0.43426287,0.09933197,2026-04-27,3
S_12,51.05,16.85,0.25856632,-0.32222787,-0.05044592,2026-04-27,3
S_13,51.07,16.85,0.24590178,-0.28517297,-0.10266027,2026-04-27,3
S_14,51.09,16.85,0.37646246,-0.39250696,0.036236845,2026-04-27,3
S_15,51.11,16.85,0.43789154,-0.4495564,0.12510936,2026-04-27,3
S_16,51.03,16.87,0.4020206,-0.45108598,0.16691728,2026-04-27,3
S_17,51.05,16.87,0.25375065,-0.31400907,-0.03929365,2026-04-27,3
S_18,51.07,16.87,0.27577576,-0.35489005,-0.027085267,2026-04-27,3
S_19,51.09,16.87,0.4373636,-0.43569005,0.016867738,2026-04-27,3
S_2,51.05,16.81,0.3102054,-0.35146463,0.054031808,2026-04-27,3
S_20,51.11,16.87,0.29282576,-0.30721453,0.010682273,2026-04-27,3
S_21,51.03,16.89,0.26625213,-0.29756662,0.07329922,2026-04-27,3
S_22,51.05,16.89,0.44972152,-0.43895784,0.10000397,2026-04-27,3
S_23,51.07,16.89,0.3883132,-0.41666883,0.08046665,2026-04-27,3
S_24,51.09,16.89,0.4243543,-0.44261813,0.020538485,2026-04-27,3
S_25,51.11,16.89,0.30172896,-0.32357806,0.035380676,2026-04-27,3
S_26,51.03,16.91,0.309884,-0.35666168,-0.023560591,2026-04-27,3
S_27,51.05,16.91,0.39278838,-0.4104494,0.041042864,2026-04-27,3
S_28,51.07,16.91,0.3862256,-0.4132656,0.024001885,2026-04-27,3
S_29,51.09,16.91,0.34488392,-0.35726047,-0.031952634,2026-04-27,3
S_3,51.07,16.81,0.42383268,-0.48238274,0.102487564,2026-04-27,3
S_30,51.11,16.91,0.4482484,-0.4096228,0.07564887,2026-04-27,3
S_4,51.09,16.81,0.43122482,-0.4535235,0.04427066,2026-04-27,3
S_5,51.11,16.81,0.4276137,-0.4477515,0.038762584,2026-04-27,3
S_6,51.03,16.83,0.43183056,-0.45133683,0.09674976,2026-04-27,3
S_7,51.05,16.83,0.36169958,-0.40993336,0.022227542,2026-04-27,3
S_8,51.07,16.83,0.40927297,-0.4431316,0.05625473,2026-04-27,3
S_9,51.09,16.83,0.42390746,-0.453531,0.02254506,2026-04-27,3
S_1,51.03,16.81,0.43770078,-0.44305715,0.16025199,2026-05-02,4
S_10,51.11,16.83,0.42443854,-0.4487982,0.058495924,2026-05-02,4
S_11,51.03,16.85,0.3760902,-0.42318648,0.098567486,2026-05-02,4
S_12,51.05,16.85,0.2672204,-0.32495937,-0.033359397,2026-05-02,4
S_13,51.07,16.85,0.24927524,-0.27953142,-0.07297396,2026-05-02,4
S_14,51.09,16.85,0.37595424,-0.3649517,0.041821275,2026-05-02,4
S_15,51.11,16.85,0.42378873,-0.43865585,0.12359933,2026-05-02,4
S_16,51.03,16.87,0.37105292,-0.43738124,0.13528964,2026-05-02,4
S_17,51.05,16.87,0.25457984,-0.31964606,-0.032650087,2026-05-02,4
S_18,51.07,16.87,0.29119763,-0.3572022,-0.024360303,2026-05-02,4
S_19,51.09,16.87,0.41927594,-0.40515244,0.022871286,2026-05-02,4
S_2,51.05,16.81,0.33191052,-0.374554,0.06255413,2026-05-02,4
S_20,51.11,16.87,0.31794327,-0.33465752,0.01694988,2026-05-02,4
S_21,51.03,16.89,0.26876897,-0.2751517,0.07250623,2026-05-02,4
S_22,51.05,16.89,0.42705932,-0.41934156,0.097255036,2026-05-02,4
S_23,51.07,16.89,0.39994594,-0.40125448,0.08090129,2026-05-02,4
S_24,51.09,16.89,0.42346457,-0.44060576,0.029375792,2026-05-02,4
S_25,51.11,16.89,0.29982483,-0.29631415,0.057549033,2026-05-02,4
S_26,51.03,16.91,0.3290896,-0.37183407,-0.01583904,2026-05-02,4
S_27,51.05,16.91,0.39042592,-0.411502,0.04998326,2026-05-02,4
S_28,51.07,16.91,0.3919837,-0.40660414,0.041292507,2026-05-02,4
S_29,51.09,16.91,0.34022212,-0.36186072,-0.014752106,2026-05-02,4
S_3,51.07,16.81,0.41243812,-0.46603906,0.1023607,2026-05-02,4
S_30,51.11,16.91,0.43021843,-0.41511494,0.07937955,2026-05-02,4
S_4,51.09,16.81,0.42369342,-0.4496102,0.045369927,2026-05-02,4
S_5,51.11,16.81,0.42204788,-0.4471076,0.04583607,2026-05-02,4
S_6,51.03,16.83,0.40182856,-0.42994818,0.10642578,2026-05-02,4
S_7,51.05,16.83,0.36471668,-0.40458974,0.03234628,2026-05-02,4
S_8,51.07,16.83,0.39292678,-0.41431493,0.05293251,2026-05-02,4
S_9,51.09,16.83,0.42595074,-0.45271495,0.026614023,2026-05-02,4
S_1,51.03,16.81,0.41700482,-0.41565347,0.1449678,2026-05-07,5
S_10,51.11,16.83,0.4298897,-0.45255122,0.072526425,2026-05-07,5
S_11,51.03,16.85,0.3597855,-0.3932286,0.11292773,2026-05-07,5
S_12,51.05,16.85,0.29645884,-0.32732227,-0.030400569,2026-05-07,5
S_13,51.07,16.85,0.25888482,-0.29137376,-0.0625355,2026-05-07,5
S_14,51.09,16.85,0.37842828,-0.36319676,0.035913594,2026-05-07,5
S_15,51.11,16.85,0.42704922,-0.43071944,0.1009661,2026-05-07,5
S_16,51.03,16.87,0.36255974,-0.4007277,0.13418826,2026-05-07,5
S_17,51.05,16.87,0.256728,-0.32145846,-0.027000306,2026-05-07,5
S_18,51.07,16.87,0.29315543,-0.3573162,-0.019386437,2026-05-07,5
S_19,51.09,16.87,0.43666705,-0.40805086,0.027857672,2026-05-07,5
S_2,51.05,16.81,0.36080596,-0.3883743,0.07333021,2026-05-07,5
S_20,51.11,16.87,0.3326327,-0.34603038,0.032136727,2026-05-07,5
S_21,51.03,16.89,0.3056289,-0.2633088,0.06712115,2026-05-07,5
S_22,51.05,16.89,0.44024193,-0.43940273,0.10509852,2026-05-07,5
S_23,51.07,16.89,0.41780224,-0.41163453,0.07991238,2026-05-07,5
S_24,51.09,16.89,0.42915902,-0.4364572,0.04111185,2026-05-07,5
S_25,51.11,16.89,0.35398698,-0.3251094,0.069856636,2026-05-07,5
S_26,51.03,16.91,0.34261876,-0.37514216,-0.002659154,2026-05-07,5
S_27,51.05,16.91,0.3846954,-0.40809193,0.072196916,2026-05-07,5
S_28,51.07,16.91,0.39504743,-0.40281916,0.05730803,2026-05-07,5
S_29,51.09,16.91,0.3471239,-0.37828112,-0.008032272,2026-05-07,5
S_3,51.07,16.81,0.38412324,-0.44238213,0.099740595,2026-05-07,5
S_30,51.11,16.91,0.42430088,-0.4132328,0.07518869,2026-05-07,5
S_4,51.09,16.81,0.42151386,-0.4455862,0.051834654,2026-05-07,5
S_5,51.11,16.81,0.4276783,-0.45117825,0.052682597,2026-05-07,5
S_6,51.03,16.83,0.3808122,-0.42505428,0.10393816,2026-05-07,5
S_7,51.05,16.83,0.37116867,-0.40133256,0.046941437,2026-05-07,5
S_8,51.07,16.83,0.3943012,-0.41718256,0.056814253,2026-05-07,5
S_9,51.09,16.83,0.4228412,-0.45204997,0.036412653,2026-05-07,5
S_1,51.03,16.81,0.43637785,-0.4302089,0.13285814,2026-05-12,6
S_10,51.11,16.83,0.42991242,-0.45602778,0.07646047,2026-05-12,6
S_11,51.03,16.85,0.3493713,-0.37346548,0.10926937,2026-05-12,6
S_12,51.05,16.85,0.30092692,-0.34256846,-0.027948534,2026-05-12,6
S_13,51.07,16.85,0.2765356,-0.3129939,-0.06286756,2026-05-12,6
S_14,51.09,16.85,0.41190442,-0.41339278,0.02899072,2026-05-12,6
S_15,51.11,16.85,0.43693265,-0.44388884,0.09760128,2026-05-12,6
S_16,51.03,16.87,0.34856668,-0.3992351,0.12584886,2026-05-12,6
S_17,51.05,16.87,0.26800743,-0.33008602,-0.032671914,2026-05-12,6
S_18,51.07,16.87,0.31444395,-0.37125537,-0.005513301,2026-05-12,6
S_19,51.09,16.87,0.44744682,-0.42950675,0.04542812,2026-05-12,6
S_2,51.05,16.81,0.35788622,-0.38822109,0.06854604,2026-05-12,6
S_20,51.11,16.87,0.34666568,-0.3314603,0.044367753,2026-05-12,6
S_21,51.03,16.89,0.35555196,-0.31026474,0.05489198,2026-05-12,6
S_22,51.05,16.89,0.4415484,-0.44014907,0.10603162,2026-05-12,6
S_23,51.07,16.89,0.43308425,-0.44081813,0.080300756,2026-05-12,6
S_24,51.09,16.89,0.43116495,-0.4468165,0.03600845,2026-05-12,6
S_25,51.11,16.89,0.39100677,-0.36986467,0.06857593,2026-05-12,6
S_26,51.03,16.91,0.33775324,-0.36393675,0.0092909625,2026-05-12,6
S_27,51.05,16.91,0.3885904,-0.4035422,0.088188514,2026-05-12,6
S_28,51.07,16.91,0.41569903,-0.41367453,0.068307295,2026-05-12,6
S_29,51.09,16.91,0.35918218,-0.41219977,-0.0072622793,2026-05-12,6
S_3,51.07,16.81,0.37798664,-0.39871103,0.10982111,2026-05-12,6
S_30,51.11,16.91,0.42728344,-0.41713527,0.07172367,2026-05-12,6
S_4,51.09,16.81,0.4244251,-0.45928738,0.06561818,2026-05-12,6
S_5,51.11,16.81,0.42746335,-0.4538687,0.068328336,2026-05-12,6
S_6,51.03,16.83,0.40200576,-0.4114441,0.10972351,2026-05-12,6
S_7,51.05,16.83,0.37242624,-0.40229395,0.06147165,2026-05-12,6
S_8,51.07,16.83,0.4061278,-0.4173334,0.05743362,2026-05-12,6
S_9,51.09,16.83,0.42759386,-0.4659331,0.038463783,2026-05-12,6
S_1,51.03,16.81,0.45899826,-0.4435424,0.13179067,2026-05-17,7
S_10,51.11,16.83,0.42711923,-0.45705613,0.064718,2026-05-17,7
S_11,51.03,16.85,0.3721485,-0.36058608,0.11178199,2026-05-17,7
S_12,51.05,16.85,0.31479666,-0.34869105,-0.028190643,2026-05-17,7
S_13,51.07,16.85,0.29798898,-0.34587353,-0.0704516,2026-05-17,7
S_14,51.09,16.85,0.43465388,-0.44849232,0.030501356,2026-05-17,7
S_15,51.11,16.85,0.43246865,-0.44951594,0.100911,2026-05-17,7
S_16,51.03,16.87,0.35091543,-0.38490194,0.13127248,2026-05-17,7
S_17,51.05,16.87,0.29114473,-0.33071625,-0.03264578,2026-05-17,7
S_18,51.07,16.87,0.33256492,-0.38683057,0.00683303,2026-05-17,7
S_19,51.09,16.87,0.46754366,-0.47420838,0.04332122,2026-05-17,7
S_2,51.05,16.81,0.35975805,-0.377359,0.060863663,2026-05-17,7
S_20,51.11,16.87,0.35714373,-0.3211568,0.038009617,2026-05-17,7
S_21,51.03,16.89,0.40285638,-0.42847344,0.046471417,2026-05-17,7
S_22,51.05,16.89,0.44184366,-0.44185627,0.10232504,2026-05-17,7
S_23,51.07,16.89,0.440975,-0.45714754,0.08306751,2026-05-17,7
S_24,51.09,16.89,0.43090716,-0.44968587,0.038866695,2026-05-17,7
S_25,51.11,16.89,0.4249457,-0.40091425,0.05845089,2026-05-17,7
S_26,51.03,16.91,0.32066,-0.34957746,0.017308302,2026-05-17,7
S_27,51.05,16.91,0.413983,-0.40760496,0.09491499,2026-05-17,7
S_28,51.07,16.91,0.43172443,-0.43418905,0.08504887,2026-05-17,7
S_29,51.09,16.91,0.36444446,-0.41737655,0.0031065275,2026-05-17,7
S_3,51.07,16.81,0.405674,-0.39749783,0.10295496,2026-05-17,7
S_30,51.11,16.91,0.43069535,-0.4322999,0.06471731,2026-05-17,7
S_4,51.09,16.81,0.4419046,-0.4632275,0.07712764,2026-05-17,7
S_5,51.11,16.81,0.4298361,-0.4575485,0.07428053,2026-05-17,7
S_6,51.03,16.83,0.42688897,-0.44306242,0.10897023,2026-05-17,7
S_7,51.05,16.83,0.3701404,-0.40556347,0.0781565,2026-05-17,7
S_8,51.07,16.83,0.43661845,-0.46252677,0.05695516,2026-05-17,7
S_9,51.09,16.83,0.43493542,-0.4787933,0.038583018,2026-05-17,7
S_1,51.03,16.81,0.48169217,-0.47648713,0.13288124,2026-05-22,8
S_10,51.11,16.83,0.4300964,-0.45909756,0.060896166,2026-05-22,8
S_11,51.03,16.85,0.38332185,-0.4007966,0.106625296,2026-05-22,8
S_12,51.05,16.85,0.3227726,-0.34668863,-0.021300036,2026-05-22,8
S_13,51.07,16.85,0.31057256,-0.35743967,-0.07951177,2026-05-22,8
S_14,51.09,16.85,0.44720754,-0.4605241,0.03160113,2026-05-22,8
S_15,51.11,16.85,0.4348149,-0.4389122,0.1060993,2026-05-22,8
S_16,51.03,16.87,0.35865209,-0.39677575,0.12826416,2026-05-22,8
S_17,51.05,16.87,0.28976148,-0.34669474,-0.026682843,2026-05-22,8
S_18,51.07,16.87,0.33078095,-0.37855262,0.022511376,2026-05-22,8
S_19,51.09,16.87,0.46541,-0.47397298,0.04453032,2026-05-22,8
S_2,51.05,16.81,0.3621591,-0.39314306,0.063442044,2026-05-22,8
S_20,51.11,16.87,0.39566967,-0.356074,0.026508212,2026-05-22,8
S_21,51.03,16.89,0.40809047,-0.46126458,0.048543725,2026-05-22,8
S_22,51.05,16.89,0.43778527,-0.44540656,0.096805535,2026-05-22,8
S_23,51.07,16.89,0.44164875,-0.46480513,0.074084036,2026-05-22,8
S_24,51.09,16.89,0.42507988,-0.45292664,0.04153359,2026-05-22,8
S_25,51.11,16.89,0.43287638,-0.4252364,0.05714163,2026-05-22,8
S_26,51.03,16.91,0.3272984,-0.32875767,0.028681498,2026-05-22,8
S_27,51.05,16.91,0.4454954,-0.43508396,0.10496556,2026-05-22,8
S_28,51.07,16.91,0.4500113,-0.45461723,0.07952875,2026-05-22,8
S_29,51.09,16.91,0.37152025,-0.4109823,0.022425026,2026-05-22,8
S_3,51.07,16.81,0.45832863,-0.42474252,0.10680618,2026-05-22,8
S_30,51.11,16.91,0.43400759,-0.4398981,0.06715089,2026-05-22,8
S_4,51.09,16.81,0.43660966,-0.46774146,0.07141678,2026-05-22,8
S_5,51.11,16.81,0.43320233,-0.45514813,0.071576744,2026-05-22,8
S_6,51.03,16.83,0.44312373,-0.44862977,0.1123343,2026-05-22,8
S_7,51.05,16.83,0.37066665,-0.41081432,0.08631096,2026-05-22,8
S_8,51.07,16.83,0.4434778,-0.47077703,0.056337826,2026-05-22,8
S_9,51.09,16.83,0.43771762,-0.4753346,0.03768383,2026-05-22,8
S_1,51.03,16.81,0.48003924,-0.47742265,0.1303219,2026-05-27,9
S_10,51.11,16.83,0.42537186,-0.45663324,0.07287773,2026-05-27,9
S_11,51.03,16.85,0.42565244,-0.44137943,0.1098919,2026-05-27,9
S_12,51.05,16.85,0.3339984,-0.34758708,0.0075610406,2026-05-27,9
S_13,51.07,16.85,0.32136545,-0.37517244,-0.077853136,2026-05-27,9
S_14,51.09,16.85,0.43599874,-0.4637184,0.034677614,2026-05-27,9
S_15,51.11,16.85,0.4335492,-0.44107336,0.10639175,2026-05-27,9
S_16,51.03,16.87,0.37020585,-0.3904968,0.13275683,2026-05-27,9
