Sektor_ID,Lat,Lon,Data,NDVI,NDWI,NDMI
S_1,51.03,16.81,2025-06-01,0.7129,-0.6503,0.4402
S_1,51.03,16.81,2025-06-06,,,
S_1,51.03,16.81,2025-06-11,0.7026,-0.647,0.4159
S_1,51.03,16.81,2025-06-16,0.5569,-0.5656,0.3209
S_1,51.03,16.81,2025-06-21,,,
S_1,51.03,16.81,2025-06-26,0.585,-0.5991,0.3091
S_1,51.03,16.81,2025-07-01,0.4891,-0.4788,0.3206
S_1,51.03,16.81,2025-07-06,0.4276,-0.5007,0.1605
S_1,51.03,16.81,2025-07-11,,,
S_1,51.03,16.81,2025-07-16,0.2541,-0.3745,-0.0695
S_1,51.03,16.81,2025-07-21,0.3126,-0.3358,0.1098
S_1,51.03,16.81,2025-07-26,0.3706,-0.4359,0.0075
S_1,51.03,16.81,2025-07-31,,,
S_1,51.03,16.81,2025-08-05,0.3964,-0.4367,0.0401
S_1,51.03,16.81,2025-08-10,0.4108,-0.4636,0.0281
S_1,51.03,16.81,2025-08-15,0.4364,-0.4737,0.0667
S_1,51.03,16.81,2025-08-20,0.3968,-0.4176,0.0829
S_1,51.03,16.81,2025-08-25,,,
S_1,51.03,16.81,2025-08-30,0.4268,-0.4628,0.0473
S_1,51.03,16.81,2025-09-04,,,
S_1,51.03,16.81,2025-09-09,0.4975,-0.5151,0.116
S_1,51.03,16.81,2025-09-14,0.1603,-0.2144,-0.0561
S_1,51.03,16.81,2025-09-19,0.3627,-0.4207,-0.0396
S_1,51.03,16.81,2025-09-24,0.3537,-0.4184,-0.0294
S_1,51.03,16.81,2025-09-29,,,
S_1,51.03,16.81,2025-10-04,,,
S_1,51.03,16.81,2025-10-09,,,
S_1,51.03,16.81,2025-10-14,0.4151,-0.4561,0.0287
S_1,51.03,16.81,2025-10-19,,,
S_1,51.03,16.81,2025-10-24,,,
S_1,51.03,16.81,2025-10-29,,,
S_1,51.03,16.81,2025-11-03,0.4137,-0.484,0.0135
S_1,51.03,16.81,2025-11-08,,,
S_1,51.03,16.81,2025-11-13,,,
S_1,51.03,16.81,2025-11-18,,,
S_1,51.03,16.81,2025-11-23,-0.0258,0.0342,0.3407
S_1,51.03,16.81,2025-11-28,,,
S_1,51.03,16.81,2025-12-03,0.2194,-0.1495,0.2743
S_1,51.03,16.81,2025-12-08,0.429,-0.4758,0.0362
S_1,51.03,16.81,2025-12-13,0.4587,-0.5098,0.1159
S_1,51.03,16.81,2025-12-18,,,
S_1,51.03,16.81,2025-12-23,,,
S_1,51.03,16.81,2025-12-28,0.4071,-0.4562,0.0392
S_1,51.03,16.81,2026-01-02,,,
S_1,51.03,16.81,2026-01-07,,,
S_1,51.03,16.81,2026-01-12,,,
